Artist Name,Title of Song,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,hot_song,cluster
Nirvana ,Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,audio_features,spotify:track:5ghIJDpPoe3CfHMGu71E6T,https://api.spotify.com/v1/tracks/5ghIJDpPoe3CfHMGu71E6T,https://api.spotify.com/v1/audio-analysis/5ghIJDpPoe3CfHMGu71E6T,301920,4,0,3
Lil Tecca ,Amigo,2BULAwmRpScmZE7YOF07e5,0.774,0.669,7,-7.397,0,0.221,0.415,0.0,0.105,0.528,89.954,audio_features,spotify:track:2BULAwmRpScmZE7YOF07e5,https://api.spotify.com/v1/tracks/2BULAwmRpScmZE7YOF07e5,https://api.spotify.com/v1/audio-analysis/2BULAwmRpScmZE7YOF07e5,150093,4,0,5
ZAYN ,I Don’t Wanna Live Forever (Fifty Shades Darker),55n9yjI6qqXh5F2mYvUc2y,0.731,0.445,0,-8.418,1,0.0533,0.0586,1.96e-05,0.14,0.106,117.97,audio_features,spotify:track:55n9yjI6qqXh5F2mYvUc2y,https://api.spotify.com/v1/tracks/55n9yjI6qqXh5F2mYvUc2y,https://api.spotify.com/v1/audio-analysis/55n9yjI6qqXh5F2mYvUc2y,247160,4,0,6
21 Savage ,asmr,2QgfDF0fQ4sskDthP8MG5w,0.84,0.543,1,-7.738,1,0.476,0.0399,0.0,0.117,0.161,170.067,audio_features,spotify:track:2QgfDF0fQ4sskDthP8MG5w,https://api.spotify.com/v1/tracks/2QgfDF0fQ4sskDthP8MG5w,https://api.spotify.com/v1/audio-analysis/2QgfDF0fQ4sskDthP8MG5w,171714,4,0,2
Harry Styles ,Fine Line,6VzcQuzTNTMFnJ6rBSaLH9,0.306,0.347,2,-8.5,1,0.0334,0.172,0.00013,0.0485,0.0511,120.996,audio_features,spotify:track:6VzcQuzTNTMFnJ6rBSaLH9,https://api.spotify.com/v1/tracks/6VzcQuzTNTMFnJ6rBSaLH9,https://api.spotify.com/v1/audio-analysis/6VzcQuzTNTMFnJ6rBSaLH9,377960,4,0,6
Lil Tjay ,Goin Up,1wNdGz7BlB9kH5lDc1eLLb,0.732,0.672,10,-8.462,0,0.148,0.0642,0.0,0.121,0.16,137.03,audio_features,spotify:track:1wNdGz7BlB9kH5lDc1eLLb,https://api.spotify.com/v1/tracks/1wNdGz7BlB9kH5lDc1eLLb,https://api.spotify.com/v1/audio-analysis/1wNdGz7BlB9kH5lDc1eLLb,140601,4,0,1
Sage The Gemini ,Now and Later,08WPvDEsHvTFuB9w8tC2OS,0.781,0.57,11,-5.874,0,0.188,0.273,0.0,0.196,0.858,107.059,audio_features,spotify:track:08WPvDEsHvTFuB9w8tC2OS,https://api.spotify.com/v1/tracks/08WPvDEsHvTFuB9w8tC2OS,https://api.spotify.com/v1/audio-analysis/08WPvDEsHvTFuB9w8tC2OS,193181,4,0,3
Tory Lanez ,The Take,0Odu228D0yGcFySGuxU4rY,0.464,0.547,7,-8.137,0,0.339,0.0511,0.0,0.155,0.423,67.003,audio_features,spotify:track:0Odu228D0yGcFySGuxU4rY,https://api.spotify.com/v1/tracks/0Odu228D0yGcFySGuxU4rY,https://api.spotify.com/v1/audio-analysis/0Odu228D0yGcFySGuxU4rY,221492,4,0,0
A Tribe Called Quest ,Melatonin,366xKgsZ8bFjIhG7JjfCkj,0.693,0.494,1,-8.801,1,0.143,0.291,0.055,0.101,0.418,94.254,audio_features,spotify:track:366xKgsZ8bFjIhG7JjfCkj,https://api.spotify.com/v1/tracks/366xKgsZ8bFjIhG7JjfCkj,https://api.spotify.com/v1/audio-analysis/366xKgsZ8bFjIhG7JjfCkj,284693,4,0,5
Kehlani ,Nights Like This,6ZRuF2n1CQxyxxAAWsKJOy,0.61,0.725,8,-5.131,1,0.15,0.367,0.0,0.154,0.291,146.163,audio_features,spotify:track:6ZRuF2n1CQxyxxAAWsKJOy,https://api.spotify.com/v1/tracks/6ZRuF2n1CQxyxxAAWsKJOy,https://api.spotify.com/v1/audio-analysis/6ZRuF2n1CQxyxxAAWsKJOy,201788,4,0,4
Future ,Wicked,6BbINUfGabVyiNFJpQXn3x,0.718,0.679,11,-5.899,0,0.0706,0.00191,0.0104,0.385,0.205,157.97,audio_features,spotify:track:6BbINUfGabVyiNFJpQXn3x,https://api.spotify.com/v1/tracks/6BbINUfGabVyiNFJpQXn3x,https://api.spotify.com/v1/audio-analysis/6BbINUfGabVyiNFJpQXn3x,173347,4,0,4
Lil Baby ,Humble,6heRfvHrUIIPx9TqRg8SCq,0.554,0.614,5,-5.715,1,0.44,0.17,0.0,0.267,0.372,80.028,audio_features,spotify:track:6heRfvHrUIIPx9TqRg8SCq,https://api.spotify.com/v1/tracks/6heRfvHrUIIPx9TqRg8SCq,https://api.spotify.com/v1/audio-analysis/6heRfvHrUIIPx9TqRg8SCq,191583,4,0,0
The Lumineers ,Long Way From Home,6C6xqMptwc0qjFo1KzCzX3,0.528,0.416,9,-8.523,1,0.0305,0.691,0.000276,0.0953,0.184,99.868,audio_features,spotify:track:6C6xqMptwc0qjFo1KzCzX3,https://api.spotify.com/v1/tracks/6C6xqMptwc0qjFo1KzCzX3,https://api.spotify.com/v1/audio-analysis/6C6xqMptwc0qjFo1KzCzX3,152280,5,0,5
The Weeknd ,All I Know,0NWqNXBJTpXbkI5rPWNy3p,0.467,0.417,8,-10.614,0,0.074,0.421,0.000202,0.102,0.171,120.021,audio_features,spotify:track:0NWqNXBJTpXbkI5rPWNy3p,https://api.spotify.com/v1/tracks/0NWqNXBJTpXbkI5rPWNy3p,https://api.spotify.com/v1/audio-analysis/0NWqNXBJTpXbkI5rPWNy3p,321027,4,0,6
Lauv ,Love Somebody,2IzUjVfO3UrAY73UjHHsGi,0.511,0.467,7,-7.799,1,0.144,0.263,0.0,0.0641,0.373,78.173,audio_features,spotify:track:2IzUjVfO3UrAY73UjHHsGi,https://api.spotify.com/v1/tracks/2IzUjVfO3UrAY73UjHHsGi,https://api.spotify.com/v1/audio-analysis/2IzUjVfO3UrAY73UjHHsGi,142773,1,0,0
Nicky Jam ,El Perdón,7qCAVkHWZkF44OzOUKf8Cr,0.628,0.69,8,-5.83,1,0.0511,0.443,0.0,0.113,0.66,179.908,audio_features,spotify:track:7qCAVkHWZkF44OzOUKf8Cr,https://api.spotify.com/v1/tracks/7qCAVkHWZkF44OzOUKf8Cr,https://api.spotify.com/v1/audio-analysis/7qCAVkHWZkF44OzOUKf8Cr,205907,4,0,2
J. Cole ,Work Out,2wAJTrFhCnQyNSD3oUgTZO,0.831,0.427,2,-6.903,1,0.106,0.0531,0.0,0.307,0.216,93.004,audio_features,spotify:track:2wAJTrFhCnQyNSD3oUgTZO,https://api.spotify.com/v1/tracks/2wAJTrFhCnQyNSD3oUgTZO,https://api.spotify.com/v1/audio-analysis/2wAJTrFhCnQyNSD3oUgTZO,235320,4,0,5
A Boogie Wit da Hoodie ,I Did It,18yllZD0TdF7ykcREib8Z1,0.718,0.454,8,-9.012,1,0.127,0.153,4.6e-05,0.116,0.196,89.483,audio_features,spotify:track:18yllZD0TdF7ykcREib8Z1,https://api.spotify.com/v1/tracks/18yllZD0TdF7ykcREib8Z1,https://api.spotify.com/v1/audio-analysis/18yllZD0TdF7ykcREib8Z1,215305,4,0,5
Vampire Weekend ,How Long?,5jd6XPyXSY4jQVG3SlXP1b,0.864,0.39,11,-7.438,0,0.0392,0.502,4.81e-05,0.127,0.811,103.948,audio_features,spotify:track:5jd6XPyXSY4jQVG3SlXP1b,https://api.spotify.com/v1/tracks/5jd6XPyXSY4jQVG3SlXP1b,https://api.spotify.com/v1/audio-analysis/5jd6XPyXSY4jQVG3SlXP1b,212253,4,0,3
Tory Lanez ,Why DON'T You LOVE me?,6V3cdH8lpwPxeS9SakKg60,0.589,0.774,4,-6.318,0,0.0495,0.0415,0.0,0.39,0.179,119.92,audio_features,spotify:track:6V3cdH8lpwPxeS9SakKg60,https://api.spotify.com/v1/tracks/6V3cdH8lpwPxeS9SakKg60,https://api.spotify.com/v1/audio-analysis/6V3cdH8lpwPxeS9SakKg60,212143,4,0,6
Meek Mill ,Sharing Locations,3J4VKkUpLvomXJbn9ZAypO,0.681,0.63,1,-5.585,1,0.0385,0.00383,0.0,0.139,0.183,151.951,audio_features,spotify:track:3J4VKkUpLvomXJbn9ZAypO,https://api.spotify.com/v1/tracks/3J4VKkUpLvomXJbn9ZAypO,https://api.spotify.com/v1/audio-analysis/3J4VKkUpLvomXJbn9ZAypO,161053,4,0,4
The Jackson 5 ,Santa Claus Is Coming To Town,2QpN1ZVw8eJO5f7WcvUA1k,0.692,0.762,0,-4.867,1,0.0342,0.424,1.27e-05,0.181,0.961,146.673,audio_features,spotify:track:2QpN1ZVw8eJO5f7WcvUA1k,https://api.spotify.com/v1/tracks/2QpN1ZVw8eJO5f7WcvUA1k,https://api.spotify.com/v1/audio-analysis/2QpN1ZVw8eJO5f7WcvUA1k,144013,4,0,4
Florida Georgia Line ,Anything Goes,46ZfPS5VpSQVU5gb82hg3K,0.458,0.976,0,-3.791,1,0.0459,0.00182,0.0,0.193,0.76,154.007,audio_features,spotify:track:46ZfPS5VpSQVU5gb82hg3K,https://api.spotify.com/v1/tracks/46ZfPS5VpSQVU5gb82hg3K,https://api.spotify.com/v1/audio-analysis/46ZfPS5VpSQVU5gb82hg3K,218867,4,0,4
A$AP Rocky ,Rich Nigga Problems,4i9ATUqGrKhfzQ0k8UnSBf,0.619,0.561,5,-7.824,0,0.417,0.103,0.0,0.45,0.587,74.861,audio_features,spotify:track:4i9ATUqGrKhfzQ0k8UnSBf,https://api.spotify.com/v1/tracks/4i9ATUqGrKhfzQ0k8UnSBf,https://api.spotify.com/v1/audio-analysis/4i9ATUqGrKhfzQ0k8UnSBf,217294,4,0,0
Avicii ,Feeling Good,7rc6L3UtM0uvwfpsl07GBL,0.32,0.588,11,-5.49,0,0.0449,0.34,0.0,0.112,0.111,131.585,audio_features,spotify:track:7rc6L3UtM0uvwfpsl07GBL,https://api.spotify.com/v1/tracks/7rc6L3UtM0uvwfpsl07GBL,https://api.spotify.com/v1/audio-analysis/7rc6L3UtM0uvwfpsl07GBL,230425,4,0,6
Eminem ,Lose Yourself,5Z01UMMf7V1o0MzF86s6WJ,0.692,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374,audio_features,spotify:track:5Z01UMMf7V1o0MzF86s6WJ,https://api.spotify.com/v1/tracks/5Z01UMMf7V1o0MzF86s6WJ,https://api.spotify.com/v1/audio-analysis/5Z01UMMf7V1o0MzF86s6WJ,326467,4,0,2
R3HAB ,Killing Time,0gy0E4pQdJewY0yQz4YXtD,0.477,0.581,10,-7.555,0,0.123,0.454,1.55e-06,0.196,0.17,110.05,audio_features,spotify:track:0gy0E4pQdJewY0yQz4YXtD,https://api.spotify.com/v1/tracks/0gy0E4pQdJewY0yQz4YXtD,https://api.spotify.com/v1/audio-analysis/0gy0E4pQdJewY0yQz4YXtD,193143,4,0,3
Chlöe ,Treat Me,2ZCu2xskiEBCV3y0eu0zJG,0.708,0.793,7,-2.518,0,0.0417,0.0442,2.62e-06,0.0362,0.503,94.005,audio_features,spotify:track:2ZCu2xskiEBCV3y0eu0zJG,https://api.spotify.com/v1/tracks/2ZCu2xskiEBCV3y0eu0zJG,https://api.spotify.com/v1/audio-analysis/2ZCu2xskiEBCV3y0eu0zJG,149866,4,0,5
Taylor Swift ,State Of Grace (Acoustic Version) (Taylor's Version),5jAIouBES8LWMiriuNq170,0.445,0.131,7,-13.778,1,0.0564,0.663,1.57e-06,0.108,0.101,208.918,audio_features,spotify:track:5jAIouBES8LWMiriuNq170,https://api.spotify.com/v1/tracks/5jAIouBES8LWMiriuNq170,https://api.spotify.com/v1/audio-analysis/5jAIouBES8LWMiriuNq170,321640,3,0,2
Ty Dolla $ign ,Clout,1u0CD4fcBUB1xrG9fNgejh,0.88,0.728,10,-6.939,0,0.205,0.136,5.42e-05,0.337,0.715,160.976,audio_features,spotify:track:1u0CD4fcBUB1xrG9fNgejh,https://api.spotify.com/v1/tracks/1u0CD4fcBUB1xrG9fNgejh,https://api.spotify.com/v1/audio-analysis/1u0CD4fcBUB1xrG9fNgejh,200373,4,0,2
